School_name,Latitude,Longitude,Selective_school
Abbotsford Public School,-33.852728,151.131206,Not Selective
Aberdeen Public School,-32.166098,150.888095,Not Selective
Abermain Public School,-32.80892,151.426499,Not Selective
Adaminaby Public School,-35.993292,148.776721,Not Selective
Adamstown Public School,-32.932213,151.730971,Not Selective
Adelong Public School,-35.312333,148.062802,Not Selective
Albion Park Public School,-34.570257,150.77262,Not Selective
Timbumburi Public School,-31.203781,150.915629,Not Selective
Albury Public School,-36.082454,146.919253,Not Selective
Albury West Public School,-36.07783,146.895548,Not Selective
Alma Public School,-31.982217,141.462443,Not Selective
Alstonville Public School,-28.838471,153.438172,Not Selective
Anna Bay Public School,-32.77637,152.089912,Not Selective
Annandale Public School,-33.885782,151.169599,Not Selective
Annandale North Public School,-33.877905,151.171835,Not Selective
Appin Public School,-34.198417,150.78766,Not Selective
Arcadia Public School,-33.623487,151.051031,Not Selective
Ardlethan Central School,-34.354098,146.900557,Not Selective
Ariah Park Central School,-34.346925,147.218018,Not Selective
Armidale City Public School,-30.519501,151.664056,Not Selective
Drummond Memorial Public School,-30.511469,151.650715,Not Selective
Artarmon Public School,-33.811249,151.186001,Not Selective
Ashbury Public School,-33.898833,151.11944,Not Selective
Ashfield Public School,-33.889723,151.12821,Not Selective
Ashford Central School,-29.321262,151.094638,Not Selective
Asquith Public School,-33.685729,151.112177,Not Selective
Attunga Public School,-30.930445,150.846575,Not Selective
Auburn North Public School,-33.841669,151.038618,Not Selective
Auburn West Public School,-33.860931,151.019764,Not Selective
Austinmer Public School,-34.305398,150.934991,Not Selective
Austral Public School,-33.934487,150.812638,Not Selective
Avoca Public School,-34.612697,150.479766,Not Selective
Avoca Beach Public School,-33.471154,151.430745,Not Selective
Awaba Public School,-33.010554,151.538068,Not Selective
Colo Vale Public School,-34.401281,150.476178,Not Selective
Bald Blair Public School,-30.229893,151.785056,Not Selective
Seaforth Public School,-33.793262,151.251235,Not Selective
Balgownie Public School,-34.386984,150.872076,Not Selective
Ballimore Public School,-32.193596,148.899631,Not Selective
Ballina Public School,-28.869724,153.563707,Not Selective
Balranald Central School,-34.635575,143.564769,Not Selective
Bangalow Public School,-28.68554,153.525743,Not Selective
Banksmeadow Public School,-33.953739,151.20661,Not Selective
Greenacre Public School,-33.911161,151.057581,Not Selective
Bankstown North Public School,-33.904888,151.038043,Not Selective
Banora Point Public School,-28.222422,153.543702,Not Selective
Baradine Central School,-30.950736,149.070198,Not Selective
Barellan Central School,-34.287799,146.571928,Not Selective
Bargo Public School,-34.292889,150.58274,Not Selective
Barham Public School,-35.626915,144.127977,Not Selective
Barkers Vale Public School,-28.54902,153.14927,Not Selective
Barmedman Public School,-34.148277,147.385078,Not Selective
Barnsley Public School,-32.933094,151.594552,Not Selective
Barooga Public School,-35.912963,145.695985,Not Selective
Barraba Central School,-30.38239,150.599478,Not Selective
Barrington Public School,-31.971159,151.911058,Not Selective
Baryulgil Public School,-29.2235,152.605615,Not Selective
Bass Hill Public School,-33.905902,151.005779,Not Selective
Batemans Bay Public School,-35.700051,150.188373,Not Selective
Bathurst Public School,-33.420942,149.570615,Not Selective
Batlow Technology School,-35.523007,148.146548,Not Selective
Beckom Public School,-34.327211,146.962928,Not Selective
Bedgerebong Public School,-33.361353,147.679318,Not Selective
Beechwood Public School,-31.435535,152.68094,Not Selective
Beecroft Public School,-33.752085,151.06462,Not Selective
Beelbangera Public School,-34.252836,146.101067,Not Selective
Bega Valley Public School,-36.670545,149.839095,Not Selective
Bellata Public School,-29.918659,149.796216,Not Selective
Bellbird Public School,-32.859421,151.316705,Not Selective
Bellbrook Public School,-30.819094,152.508698,Not Selective
Bellevue Hill Public School,-33.886986,151.259785,Not Selective
Bellingen Public School,-30.45349,152.891887,Not Selective
Belltrees Public School,-31.988753,151.129487,Not Selective
Belmont Public School,-33.030134,151.662203,Not Selective
Belmore North Public School,-33.909885,151.084885,Not Selective
Belmore South Public School,-33.925735,151.091985,Not Selective
Bemboka Public School,-36.631309,149.571075,Not Selective
Bendemeer Public School,-30.886984,151.150991,Not Selective
Ben Lomond Public School,-30.017024,151.661287,Not Selective
Ben Venue Public School,-30.502884,151.67462,Not Selective
Berala Public School,-33.869714,151.028244,Not Selective
Beresfield Public School,-32.803964,151.654863,Not Selective
Berkeley Public School,-34.480214,150.856493,Not Selective
Berkeley Vale Public School,-33.350515,151.435888,Not Selective
Bermagui Public School,-36.420776,150.063625,Not Selective
Berowra Public School,-33.618522,151.148996,Not Selective
Berridale Public School,-36.371444,148.827209,Not Selective
Berrigan Public School,-35.659667,145.815664,Not Selective
Berrima Public School,-34.485882,150.340775,Not Selective
Berry Public School,-34.778317,150.689706,Not Selective
Beverly Hills Public School,-33.953449,151.085209,Not Selective
Bexhill Public School,-28.766026,153.345835,Not Selective
Bigga Public School,-34.0847,149.144602,Not Selective
Bilambil Public School,-28.223742,153.468431,Not Selective
Ocean Shores Public School,-28.491203,153.540337,Not Selective
Bilpin Public School,-33.497331,150.516765,Not Selective
Binalong Public School,-34.670108,148.625718,Not Selective
Binda Public School,-34.331463,149.368114,Not Selective
Bingara Central School,-29.866705,150.56725,Not Selective
Binnaway Central School,-31.552793,149.374951,Not Selective
Binya Public School,-34.228678,146.353034,Not Selective
Birchgrove Public School,-33.853009,151.177045,Not Selective
Blackheath Public School,-33.639284,150.285831,Not Selective
Black Hill Public School,-32.838523,151.617131,Not Selective
Black Mountain Public School,-30.308489,151.657688,Not Selective
Blackville Public School,-31.64044,150.237489,Not Selective
Blakebrook Public School,-28.763426,153.229992,Not Selective
Blakehurst Public School,-33.98298,151.115779,Not Selective
Blandford Public School,-31.778585,150.892725,Not Selective
Blaxcell Street Public School,-33.858068,151.006125,Not Selective
Blaxland Public School,-33.737103,150.603489,Not Selective
Blayney Public School,-33.528987,149.251583,Not Selective
Blighty Public School,-35.580094,145.349272,Not Selective
Boambee Public School,-30.334055,153.077009,Not Selective
Bobin Public School,-31.712682,152.28388,Not Selective
Bobs Farm Public School,-32.766796,152.010937,Not Selective
Bodalla Public School,-36.09938,150.053879,Not Selective
Bogan Gate Public School,-33.104968,147.797859,Not Selective
Boggabilla Central School,-28.616586,150.361593,Not Selective
Boggabri Public School,-30.705682,150.043053,Not Selective
Bolwarra Public School,-32.706994,151.573008,Not Selective
Bomaderry Public School,-34.847379,150.608269,Not Selective
Bombala Public School,-36.918986,149.233792,Not Selective
Bonalbo Central School,-28.735472,152.623959,Not Selective
Bondi Beach Public School,-33.8883,151.276821,Not Selective
Bongongo Public School,-35.08463,148.399517,Not Selective
Bonshaw Public School,-29.046366,151.278092,Not Selective
Bonville Public School,-30.379782,153.032316,Not Selective
Boolaroo Public School,-32.951196,151.622765,Not Selective
Booligal Public School,-33.86704,144.886395,Not Selective
Boomi Public School,-28.724129,149.577268,Not Selective
Booral Public School,-32.471428,151.960736,Not Selective
Boorowa Central School,-34.436712,148.726108,Not Selective
Boree Creek Public School,-35.105937,146.606338,Not Selective
Boronia Park Public School,-33.821414,151.135558,Not Selective
Bossley Park Public School,-33.858524,150.883076,Not Selective
Botany Public School,-33.94316,151.194687,Not Selective
Bourke Public School,-30.09351,145.94968,Not Selective
Norfolk Island Central School,-29.041061,167.967768,Not Selective
Bowning Public School,-34.769376,148.81153,Not Selective
Bowral Public School,-34.481178,150.419191,Not Selective
Bowraville Central School,-30.645289,152.853898,Not Selective
Braidwood Central School,-35.440595,149.798888,Not Selective
Branxton Public School,-32.659391,151.350682,Not Selective
Breadalbane Public School,-34.790546,149.487576,Not Selective
Colo Heights Public School,-33.372972,150.739776,Not Selective
Bredbo Public School,-35.95399,149.14797,Not Selective
Brewarrina Central School,-29.963669,146.859088,Not Selective
Bribbaree Public School,-34.12042,147.874699,Not Selective
Brighton-Le-Sands Public School,-33.962357,151.148929,Not Selective
Bringelly Public School,-33.93791,150.730266,Not Selective
Broadwater Public School,-29.002773,153.437279,Not Selective
Brocklesby Public School,-35.823911,146.677989,Not Selective
Broke Public School,-32.744976,151.104334,Not Selective
Broken Hill Public School,-31.956108,141.456502,Not Selective
Broken Hill North Public School,-31.944457,141.471518,Not Selective
Bronte Public School,-33.900605,151.262011,Not Selective
Brooklyn Public School,-33.548414,151.214992,Not Selective
Brookvale Public School,-33.761678,151.270787,Not Selective
Brungle Public School,-35.156755,148.233572,Not Selective
