School_name,Latitude,Longitude,Selective_school
Normanhurst Public School,-33.723332,151.098026,Not Selective
Northbridge Public School,-33.813034,151.218597,Not Selective
Northmead Public School,-33.786511,150.990753,Not Selective
North Rocks Public School,-33.768425,151.025148,Not Selective
North Star Public School,-28.926653,150.392891,Not Selective
North Sydney Public School,-33.834819,151.203685,Not Selective
Nowendoc Public School,-31.48295,151.71536,Not Selective
Nowra Public School,-34.879407,150.60052,Not Selective
Nulkaba Public School,-32.810691,151.34781,Not Selective
Nundle Public School,-31.459684,151.127429,Not Selective
Nymboida Public School,-29.947482,152.727964,Not Selective
Nyngan Public School,-31.568398,147.195259,Not Selective
Oakdale Public School,-34.078907,150.508197,Not Selective
Oaklands Central School,-35.552669,146.171768,Not Selective
The Oaks Public School,-34.078385,150.571724,Not Selective
Oakville Public School,-33.620452,150.87054,Not Selective
Oatley Public School,-33.983741,151.080332,Not Selective
Oberon Public School,-33.703254,149.864517,Not Selective
O'Connell Public School,-33.524513,149.720076,Not Selective
Old Bar Public School,-31.972339,152.588536,Not Selective
Old Bonalbo Public School,-28.654622,152.597413,Not Selective
Old Guildford Public School,-33.867484,150.986508,Not Selective
Orange East Public School,-33.282069,149.113698,Not Selective
Orange Grove Public School,-33.872278,151.158678,Not Selective
Orara Upper Public School,-30.289005,153.01324,Not Selective
Orchard Hills Public School,-33.783029,150.721365,Not Selective
Otford Public School,-34.212198,151.001507,Not Selective
Ourimbah Public School,-33.354916,151.368168,Not Selective
Oxley Island Public School,-31.912342,152.568571,Not Selective
Padstow Park Public School,-33.954955,151.030882,Not Selective
Pallamallawa Public School,-29.473894,150.141464,Not Selective
Palmers Island Public School,-29.419567,153.28822,Not Selective
Pambula Public School,-36.925482,149.871813,Not Selective
Parkes Public School,-33.13229,148.176314,Not Selective
Parklea Public School,-33.725885,150.93476,Not Selective
Parramatta Public School,-33.81571,151.007732,Not Selective
Wooli Public School,-29.870923,153.265781,Not Selective
Parramatta North Public School,-33.803951,151.004694,Not Selective
Parramatta West Public School,-33.824472,150.990968,Not Selective
Paterson Public School,-32.602294,151.612319,Not Selective
Paxton Public School,-32.900993,151.284621,Not Selective
Peak Hill Central School,-32.728855,148.192111,Not Selective
Peakhurst Public School,-33.955402,151.062306,Not Selective
Peats Ridge Public School,-33.325841,151.23275,Not Selective
Pelaw Main Public School,-32.831923,151.484743,Not Selective
Pennant Hills Public School,-33.7358,151.068058,Not Selective
West Pennant Hills Public School,-33.746075,151.050491,Not Selective
Penrith Public School,-33.755926,150.70439,Not Selective
Penrose Public School,-34.669731,150.221344,Not Selective
